"ID";"Codigo";"Link";"Nombre";"Descripcion/Obervaciones";"Tipo";"ProcedenciaOC";"EsTratoDirecto";"EsCompraAgil";"CodigoTipo";"CodigoAbreviadoTipoOC";"DescripcionTipoOC";"codigoEstado";"Estado";"codigoEstadoProveedor";"EstadoProveedor";"FechaCreacion";"FechaEnvio";"FechaSolicitudCancelacion";"fechaUltimaModificacion";"FechaAceptacion";"FechaCancelacion";"tieneItems";"PromedioCalificacion";"CantidadEvaluacion";"MontoTotalOC";"TipoMonedaOC";"MontoTotalOC_PesosChilenos";"Impuestos";"TipoImpuesto";"Descuentos";"Cargos";"TotalNetoOC";"CodigoUnidadCompra";"RutUnidadCompra";"UnidadCompra";"CodigoOrganismoPublico";"OrganismoPublico";"sector";"ActividadComprador";"CiudadUnidadCompra";"RegionUnidadCompra";"PaisUnidadCompra";"CodigoSucursal";"RutSucursal";"Sucursal";"CodigoProveedor";"NombreProveedor";"ActividadProveedor";"ComunaProveedor";"RegionProveedor";"PaisProveedor";"Financiamiento";"PorcentajeIva";"Pais";"TipoDespacho";"FormaPago";"CodigoLicitacion";"Codigo_ConvenioMarco";"IDItem";"codigoCategoria";"Categoria";"codigoProductoONU";"NombreroductoGenerico";"RubroN1";"RubroN2";"RubroN3";"EspecificacionComprador";"EspecificacionProveedor";"cantidad";"UnidadMedida";"monedaItem";"precioNeto";"totalCargos";"totalDescuentos";"totalImpuestos";"totalLineaNeto";"Forma de Pago"
45204052;"2667-1066-SE21";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2667-1066-SE21";"SERVICIO DE MANTENCIÓN DEL SISTEMA DE EMERGENCIA,  PARA EL EDIFICIO CENTRO CÍVICO DE VITACURA (ID 2667-60-LP21)";"Servicio de mantención del sistema de emergencia, incluida la provisión de sensores de monóxido de carbono (CO2), así como también las válvulas de suministro de la red húmeda, del Edificio Centro Cívico de Vitacura, según Bases de Licitación. PLAZO 60 MESES.";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2021-12-27";"2026-03-12";"2026-03-12";"2026-03-12";"2026-03-16";NA;1;0;0;3333,666;"CLF";103233036,003891;532,266;"IVA";0;0;2801,4;3656;"69.255.600-3";"SECPLA";98462;"I MUNICIPALIDAD DE VITACURA";"Municipalidades";"-";"Vitacura";"Región Metropolitana de Santiago";"CL";540703;"76.053.846-9";"LAB Chile Ltda.";1080396;"Laboratorio LABEE CHILE LIMITADA";"REPARACION DE COMPONENTES ELECTRONICOS| REPARACION";"Ñuñoa";"Región Metropolitana de Santiago";"Chile";"22.08.002.005";19;"CL";7;2;"2667-60-LP21";NA;120133245;25201900;"Vehículos y equipamiento en general / Componentes para sistemas aeroespaciales / Sistemas de emergencia para aviones";25201901;"Sistemas de Control de incendio o sistemas de extinguir";"Vehículos y equipamiento en general";"Componentes para sistemas aeroespaciales";"Sistemas de emergencia para aviones";"Valor Mensual Neto en UF por el Servicio de Mantención preventiva y correctiva, sistema de emergencia Edificio Centro Cívico de Vitacura, según Anexo N°5.";"CONTRATO SUSCRITO ENTRE MUNICIPALIDAD DE VITACURA Y LABORATORIO LABBE CHILE LTDA, DE FECHA 13/01/2022; DECRETO ALCALDICIO N°4/233, DE FECHA 02/02/2022, APRUEBA CONTRATO.";60;"Mes";"CLF";46,69;0;0;0;2801,4;"30 dias contra la recepcion conforme de la factura"
50165259;"3711-23-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3711-23-SE24";"ORDEN DE COMPRA DESDE 3711-4-LR24";"CONCESION SERVICIO DE RECOLECCION TRANSPORTE RESIDUOS DOMICILIARIOS BARRIDO DE CALLES Y DISPOSICIÓN FINAL DE RESIDUOS DOMICILIARIOS COMUNA DE VICTORIA DESDE 3711-4-LR24";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2024-04-02";"2026-03-20";"2026-03-20";"2026-03-20";"2026-03-23";NA;1;0;0;4971518097;"CLP";4971518097;793771797;"IVA";0;0;4177746300;4631;"69.180.900-5";"Secpla";116399;"I MUNICIPALIDAD DE VICTORIA";"Municipalidades";"";"Victoria";"Región de la Araucanía ";"CL";196913;"76.473.150-6";"Crecer SpA";192955;"Crecer SpA";"TRANSPORTE DE CARGA POR CARRETERA| ACTIVIDADES DE ";"San Bernardo";"Región Metropolitana de Santiago";"Chile";"2152208003";19;"CL";7;2;"3711-4-LR24";NA;134561877;76121500;"Servicios de limpieza industrial / Eliminación y tratamiento de desechos / Recolección y eliminación de desechos";76121501;"Recolección, destrucción, transformación o eliminación de basuras";"Servicios de limpieza industrial";"Eliminación y tratamiento de desechos";"Recolección y eliminación de desechos";"valor mensual neto, por el servicio de CONCESIÓN SERVICIO DE RECOLECCION, TRANSPORTE RESIDUOS DOMICILIARIOS, BARRIDO DE CALLES DISPOSICIÓN FINAL DE RESIDUOS DOMICILIARIOS Y MANTENCIÓN DE VERTEDERO, COMUNA DE VICTORIA, por un periodo de 42 meses, de acuerdo a lo establecido en Bases.";"Valor mensual neto";42;"Mes";"CLP";99470150;0;0;0;4177746300;"30 dias contra la recepcion conforme de la factura"
50864695;"1272045-30-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1272045-30-SE24";"SERVICIO MANTENIMIENTO PLANTA DE TRATAMIENTO OLMUE";"SERVICIO DE MANTENIMIENTO PLANTA DE TRATAMIENTO PARA LA COMUNA DE OLMUE 

Proveniente de:

Cotización 1272045-22-SC24 y correo electrónico

";"SE";"Emergencia, urgencia o imprevisto";"Si";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2024-07-17";"2026-03-10";"2026-03-10";"2026-03-10";"2026-03-10";NA;1;0;0;39558095,43;"CLP";39558095,43;6315998,43;"IVA";332607;0;33574704;1272045;"61.979.850-3";"DPP MARGA MARGA EMERGENCIA Y ESCACEZ HIDRICA";1163597;"DELEGACIÓN PRESIDENCIAL PROVINCIAL DE MARGA MARGA";"Gob. Central, Universidades";"DELEGACIÓN PRESIDENCIAL";"Quilpué";"Región de Valparaíso ";"CL";1250567;"77.563.796-K";"ECOFOSA SPA";1836704;"ECOFOSA SPA";"EVACUACION Y TRATAMIENTO DE AGUAS SERVIDAS";"Limache";"Región de Valparaíso ";"Chile";"32";19;"CL";9;2;"";NA;136659830;20111600;"Maquinaria para minería y perforación / Equipo de perforación y explotación de pozos / Maquinaria de perforación y explotación";20111610;"Maquinaria de inspección de alcantarillado";"Maquinaria para minería y perforación";"Equipo de perforación y explotación de pozos";"Maquinaria de perforación y explotación";"Coordinar con Samuel Valencia: svalencia@interior.gob.cl y con la I. Municipalidad de Olmué.

DESCUENTO APLICADO POR TRABAJO INCOMPLETO

PORCENTAJE DE CUMPLIMIENTO 41%";"Arriendo Camiones  succionadores de capacidad 10 a 12 m³. Jornada de 8hrs diarias efectivas durante 5 días corridos.";1;"Unidad";"CLP";81889520;0;48314816;0;-14740112;"30 dias contra la recepcion conforme de la factura"
50939115;"4993-370-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4993-370-SE24";"ORDEN DE COMPRA DESDE 4993-57-LP24";"COMUNA DE CHOLCHOL PROTEGIDA MEDIANTE SISTEMA DE TELEVIGILANCIA SECTOR URBANO DESDE 4993-57-LP24";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";6;"Aceptada";4;"Aceptada";"2024-07-29";"2026-03-02";"2026-03-02";"2026-03-02";"2026-03-11";NA;1;0;0;64305137,89;"CLP";64305137,89;10267206,89;"IVA";0;0;54037931;5906;"69.265.000-k";"Secplan";165105;"MUNICIPALIDAD DE CHOLCHOL";"Municipalidades";"SERVICIO PUBLICO";"Chol Chol";"Región de la Araucanía ";"CL";1099883;"12.708.987-6";"SEGURITY TOTAL ";263660;"RAÚL MAURICIO HERNÁNDEZ CÁRCAMO";"seguridad general";"";"";"";"FONDOS EXTRAPRESUPUESTARIOS";19;"CL";12;2;"4993-57-LP24";NA;136880988;46171600;"Equipos y suministros de defensa, orden público, protección y seguridad / Seguridad, vigilancia y detección / Equipo de vigilancia y detección";46171610;"Cámaras de seguridad";"Equipos y suministros de defensa, orden público, protección y seguridad";"Seguridad, vigilancia y detección";"Equipo de vigilancia y detección";"LICITACION PUBLICA "" COMUNA DE CHOLCHOL PROTEGIDA MEDIANTE SISTEMA DE TELEVIGILANCIA, SECTOR URBANO""PRESUPUESTO DISPONIBLE $ 65.700.000 CON IVA INCLUIDO.-";"proyecto cámaras Cholchol 2024";1;"Global";"CLP";54037931;0;0;0;54037931;"30 dias contra la recepcion conforme de la factura"
51005543;"1057548-864-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057548-864-SE24";"protesis testicular 1057548-26-LE24";"Suministro de protesis e insumos de urologia DESDE 1057548-26-LE24";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2024-08-07";"2026-03-20";"2026-03-20";"2026-05-12";"2026-03-27";NA;1;0;0;290000,0012;"CLP";290000,0012;46302,5212;"IVA";0;0;243697,48;1057548;"61.607.503-9";"Bienes y Servicios";7429;"SERVICIO DE SALUD VALDIVIA HOSPITAL LA U";"Salud";"Servicio Público";"La Unión";"Región de Los Ríos";"CL";634145;"76.131.542-0";"Medcorp ";1237333;"MEDCORP S.A.";"OTRAS ACTIVIDADES EMPRESARIALES N.C.P.";"Las Condes";"Región Metropolitana de Santiago";"Chile";"";19;"CL";12;2;"1057548-26-LE24";NA;137077386;42242000;"Equipamiento y suministros médicos / Productos medicinales para deportes, prostéticos y ortopédicos / Dispositivos, accesorios y suministros protésicos";42242004;"Kit de preparación para prótesis de pene";"Equipamiento y suministros médicos";"Productos medicinales para deportes, prostéticos y ortopédicos";"Dispositivos, accesorios y suministros protésicos";"Prótesis testicular";"Prótesis  testicular ovalado de silicona de superficie lisa, estéril presentado en doble empaque de grado médico. Diferentes medidas. Se contempla probadores intraoperatorios. Marca GC AEsthetics. Tiempo de despacho de 2 días desde recepción de OC";1;"Kit";"CLP";243697,48;0;0;0;243697,48;"30 dias contra la recepcion conforme de la factura"
51203768;"2410-632-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2410-632-SE24";"yat, SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES.";"SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES.

DESDE 2410-12-LQ24

Depto. Técnico APS.

Contacto: joanna.salamanca@dcslosangeles.cl / 43-2211217

ENTREGA EN LA BODEGA DE LA DIRECCION COMUNAL DE SALUD, BODECENTER, UBICADA EN AVENIDA LAS INDUSTRIAS N°10445, LOTE 7A, BODEGA D21, LOS ANGELES, EN HORARIO DE LUNES A JUEVES 08:00 a 16:00 hrs. Y VIERNES 08:30 a 15:00 hrs.

ID ORIGINAL: 1824401

PEDIDO (PROVEEDOR: LABORATORIO CHILE S.A.)";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2024-09-04";"2026-03-17";"2026-03-17";"2026-03-17";"2026-03-30";NA;1;4,40377358490566;53;844900;"CLP";844900;134900;"IVA";0;0;710000;3402;"69.170.102-6";"MUNICIPALIDAD DE LOS ANGELES - SALUD";87187;"I MUNICIPALIDAD DE LOS ANGELES";"Municipalidades";"FARMACIAS INDEPENDIENTES| HOSPITALES Y CLINICAS";"Los Angeles";"Región del Biobío ";"  ";106395;"77.596.940-7";"LABORATORIO CHILE S.A.";103860;"LABORATORIO CHILE S A";"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS";"Ñuñoa";"Región Metropolitana de Santiago";"Chile";"17-211";19;"  ";7;2;"2410-12-LQ24";NA;137657782;51101500;"Medicamentos y productos farmacéuticos / Medicamentos anti infecciosos / Antibióticos";51101557;"Doxiciclina";"Medicamentos y productos farmacéuticos";"Medicamentos anti infecciosos";"Antibióticos";"DOXICICLINA 100 MG CAPSULAS, LÍNEA Nº17, SEGÚN DETALLES DE BASES TÉCNICAS.";"DOXICICLINA 100 MG CAPSULAS, LÍNEA Nº17, SEGÚN DETALLES DE BASES TÉCNICAS.";2000;"Cápsula";"CLP";155;0;0;0;310000;"30 dias contra la recepcion conforme de la factura"
51203768;"2410-632-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2410-632-SE24";"yat, SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES.";"SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES.

DESDE 2410-12-LQ24

Depto. Técnico APS.

Contacto: joanna.salamanca@dcslosangeles.cl / 43-2211217

ENTREGA EN LA BODEGA DE LA DIRECCION COMUNAL DE SALUD, BODECENTER, UBICADA EN AVENIDA LAS INDUSTRIAS N°10445, LOTE 7A, BODEGA D21, LOS ANGELES, EN HORARIO DE LUNES A JUEVES 08:00 a 16:00 hrs. Y VIERNES 08:30 a 15:00 hrs.

ID ORIGINAL: 1824401

PEDIDO (PROVEEDOR: LABORATORIO CHILE S.A.)";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2024-09-04";"2026-03-17";"2026-03-17";"2026-03-17";"2026-03-30";NA;1;4,40377358490566;53;844900;"CLP";844900;134900;"IVA";0;0;710000;3402;"69.170.102-6";"MUNICIPALIDAD DE LOS ANGELES - SALUD";87187;"I MUNICIPALIDAD DE LOS ANGELES";"Municipalidades";"FARMACIAS INDEPENDIENTES| HOSPITALES Y CLINICAS";"Los Angeles";"Región del Biobío ";"  ";106395;"77.596.940-7";"LABORATORIO CHILE S.A.";103860;"LABORATORIO CHILE S A";"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS";"Ñuñoa";"Región Metropolitana de Santiago";"Chile";"17-211";19;"  ";7;2;"2410-12-LQ24";NA;137657781;51142100;"Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Fármacos antiinflamatorios no esteroideos (NSAID)";51142121;"Diclofenaco";"Medicamentos y productos farmacéuticos";"Medicamentos para el sistema nervioso central";"Fármacos antiinflamatorios no esteroideos (NSAID)";"DICLOFENACO SODICO 12,5 MG SUPOSITORIO, LÍNEA Nº15, SEGÚN DETALLES DE BASES TÉCNICAS.";"DICLOFENACO SODICO 12,5 MG SUPOSITORIO, LÍNEA Nº15, SEGÚN DETALLES DE BASES TÉCNICAS.";5000;"Supositorio";"CLP";80;0;0;0;4e+05;"30 dias contra la recepcion conforme de la factura"
51203769;"2410-633-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2410-633-SE24";"yat, SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES. ";"SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES.

DESDE 2410-12-LQ24

Depto. Técnico APS.

Contacto: joanna.salamanca@dcslosangeles.cl / 43-2211217

ENTREGA EN LA BODEGA DE LA DIRECCION COMUNAL DE SALUD, BODECENTER, UBICADA EN AVENIDA LAS INDUSTRIAS N°10445, LOTE 7A, BODEGA D21, LOS ANGELES, EN HORARIO DE LUNES A JUEVES 08:00 a 16:00 hrs. Y VIERNES 08:30 a 15:00 hrs.

ID ORIGINAL: 1824401

PEDIDO (PROVEEDOR: MUNNICH PHARMA MEDICAL SPA)";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2024-09-04";"2026-03-16";"2026-03-13";"2026-03-13";"2026-03-17";NA;1;4;31;13509237;"CLP";13509237;2156937;"IVA";0;0;11352300;3402;"69.170.102-6";"MUNICIPALIDAD DE LOS ANGELES - SALUD";87187;"I MUNICIPALIDAD DE LOS ANGELES";"Municipalidades";"FARMACIAS INDEPENDIENTES| HOSPITALES Y CLINICAS";"Los Angeles";"Región del Biobío ";"  ";23690;"80.447.400-5";"MUNNICH PHARMA MEDICAL SPA";24141;"MUNNICH PHARMA MEDICAL SPA";"VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VEN";"";"";"Chile";"17-213";19;"  ";7;2;"2410-12-LQ24";NA;137657790;51142100;"Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Fármacos antiinflamatorios no esteroideos (NSAID)";51142108;"Ketoprofeno";"Medicamentos y productos farmacéuticos";"Medicamentos para el sistema nervioso central";"Fármacos antiinflamatorios no esteroideos (NSAID)";"KETOPROFENO 50 MG CAPSULAS, SEGÚN ESPECIFICACIONES DESCRITAS EN BASES TÉCNICAS. LÍNEA Nº25.";"KETOPROFENO 50 MG CAPSULAS, SEGÚN ESPECIFICACIONES DESCRITAS EN BASES TÉCNICAS. LÍNEA Nº25.";98000;"Cápsula";"CLP";31,35;0;0;0;3072300;"30 dias contra la recepcion conforme de la factura"
51203769;"2410-633-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2410-633-SE24";"yat, SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES. ";"SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES.

DESDE 2410-12-LQ24

Depto. Técnico APS.

Contacto: joanna.salamanca@dcslosangeles.cl / 43-2211217

ENTREGA EN LA BODEGA DE LA DIRECCION COMUNAL DE SALUD, BODECENTER, UBICADA EN AVENIDA LAS INDUSTRIAS N°10445, LOTE 7A, BODEGA D21, LOS ANGELES, EN HORARIO DE LUNES A JUEVES 08:00 a 16:00 hrs. Y VIERNES 08:30 a 15:00 hrs.

ID ORIGINAL: 1824401

PEDIDO (PROVEEDOR: MUNNICH PHARMA MEDICAL SPA)";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2024-09-04";"2026-03-16";"2026-03-13";"2026-03-13";"2026-03-17";NA;1;4;31;13509237;"CLP";13509237;2156937;"IVA";0;0;11352300;3402;"69.170.102-6";"MUNICIPALIDAD DE LOS ANGELES - SALUD";87187;"I MUNICIPALIDAD DE LOS ANGELES";"Municipalidades";"FARMACIAS INDEPENDIENTES| HOSPITALES Y CLINICAS";"Los Angeles";"Región del Biobío ";"  ";23690;"80.447.400-5";"MUNNICH PHARMA MEDICAL SPA";24141;"MUNNICH PHARMA MEDICAL SPA";"VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VEN";"";"";"Chile";"17-213";19;"  ";7;2;"2410-12-LQ24";NA;137657789;51191500;"Medicamentos y productos farmacéuticos / Agentes que afectan el agua y los electrolitos / Diuréticos";51191517;"Isosorbida";"Medicamentos y productos farmacéuticos";"Agentes que afectan el agua y los electrolitos";"Diuréticos";"ISOSORBIDE 10 MG COMPRIMIDOS, SEGÚN ESPECIFICACIONES DESCRITAS EN BASES TÉCNICAS. LÍNEA Nº23.";"ISOSORBIDE 10 MG COMPRIMIDOS, SEGÚN ESPECIFICACIONES DESCRITAS EN BASES TÉCNICAS. LÍNEA Nº23.";150000;"Comprimido";"CLP";14,4;0;0;0;2160000;"30 dias contra la recepcion conforme de la factura"
51203769;"2410-633-SE24";"http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2410-633-SE24";"yat, SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES. ";"SUMINISTRO DE MEDICAMENTOS PARA LA DCS LOS ÁNGELES.

DESDE 2410-12-LQ24

Depto. Técnico APS.

Contacto: joanna.salamanca@dcslosangeles.cl / 43-2211217

ENTREGA EN LA BODEGA DE LA DIRECCION COMUNAL DE SALUD, BODECENTER, UBICADA EN AVENIDA LAS INDUSTRIAS N°10445, LOTE 7A, BODEGA D21, LOS ANGELES, EN HORARIO DE LUNES A JUEVES 08:00 a 16:00 hrs. Y VIERNES 08:30 a 15:00 hrs.

ID ORIGINAL: 1824401

PEDIDO (PROVEEDOR: MUNNICH PHARMA MEDICAL SPA)";"SE";"Proveniente de licitación pública";"No";"No";8;"SE";"Sin emisión automática";12;"Recepcion Conforme";7;"Recepcion Conforme";"2024-09-04";"2026-03-16";"2026-03-13";"2026-03-13";"2026-03-17";NA;1;4;31;13509237;"CLP";13509237;2156937;"IVA";0;0;11352300;3402;"69.170.102-6";"MUNICIPALIDAD DE LOS ANGELES - SALUD";87187;"I MUNICIPALIDAD DE LOS ANGELES";"Municipalidades";"FARMACIAS INDEPENDIENTES| HOSPITALES Y CLINICAS";"Los Angeles";"Región del Biobío ";"  ";23690;"80.447.400-5";"MUNNICH PHARMA MEDICAL SPA";24141;"MUNNICH PHARMA MEDICAL SPA";"VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VEN";"";"";"Chile";"17-213";19;"  ";7;2;"2410-12-LQ24";NA;137657791;51142000;"Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Analgésicos no narcóticos / antipiréticos";51142009;"Metamizol sódico";"Medicamentos y productos farmacéuticos";"Medicamentos para el sistema nervioso central";"Analgésicos no narcóticos / antipiréticos";"METAMIZOL SODICO 300 MG COMPRIMIDOS, SEGÚN ESPECIFICACIONES DESCRITAS EN BASES TÉCNICAS. LÍNEA Nº29.";"METAMIZOL SODICO 300 MG COMPRIMIDOS, SEGÚN ESPECIFICACIONES DESCRITAS EN BASES TÉCNICAS. LÍNEA Nº29.";3e+05;"Comprimido";"CLP";20,4;0;0;0;6120000;"30 dias contra la recepcion conforme de la factura"
